         Q/fits             a1             b1          limit
    0.00000e+00    2.00000e+00    6.05429e-01    7.42147e-01
    1.00000e-02    2.00000e+00    6.05407e-01    7.42111e-01
    1.39997e-01    2.00000e+00    6.01145e-01    7.34950e-01
    2.52925e-01    2.00000e+00    5.91204e-01    7.18524e-01
    3.51024e-01    2.00000e+00    5.77367e-01    6.96283e-01
    4.36241e-01    2.00000e+00    5.60835e-01    6.70631e-01
    5.10268e-01    2.00000e+00    5.42454e-01    6.43246e-01
    5.74575e-01    2.00000e+00    5.22842e-01    6.15289e-01
    6.30438e-01    2.00000e+00    5.02459e-01    5.87557e-01
    6.78965e-01    2.00000e+00    4.81657e-01    5.60584e-01
    7.21121e-01    2.00000e+00    4.60708e-01    5.34712e-01
    7.57740e-01    2.00000e+00    4.39823e-01    5.10151e-01
    7.89552e-01    2.00000e+00    4.19166e-01    4.87014e-01
    8.17186e-01    2.00000e+00    3.98866e-01    4.65346e-01
    8.41191e-01    2.00000e+00    3.79022e-01    4.45144e-01
    8.62044e-01    2.00000e+00    3.59711e-01    4.26378e-01
    8.80159e-01    2.00000e+00    3.40992e-01    4.08992e-01
    8.95896e-01    2.00000e+00    3.22907e-01    3.92921e-01
    9.09566e-01    2.00000e+00    3.05485e-01    3.78090e-01
    9.21441e-01    2.00000e+00    2.88745e-01    3.64421e-01
    9.31756e-01    2.00000e+00    2.72700e-01    3.51840e-01
    9.40717e-01    2.00000e+00    2.57352e-01    3.40268e-01
    9.48502e-01    2.00000e+00    2.42699e-01    3.29635e-01
    9.55264e-01    2.00000e+00    2.28734e-01    3.19869e-01
    9.61138e-01    2.00000e+00    2.15445e-01    3.10908e-01
    9.66241e-01    2.00000e+00    2.02818e-01    3.02690e-01
    9.70674e-01    2.00000e+00    1.90836e-01    2.95158e-01
    9.74525e-01    2.00000e+00    1.79481e-01    2.88259e-01
    9.77870e-01    2.00000e+00    1.68731e-01    2.81947e-01
    9.80776e-01    2.00000e+00    1.58566e-01    2.76176e-01
    9.83300e-01    2.00000e+00    1.48962e-01    2.70907e-01
    9.85493e-01    2.00000e+00    1.39897e-01    2.66101e-01
    9.87398e-01    2.00000e+00    1.31348e-01    2.61724e-01
    9.89053e-01    2.00000e+00    1.23292e-01    2.57745e-01
    9.90490e-01    2.00000e+00    1.15706e-01    2.54134e-01
    9.91739e-01    2.00000e+00    1.08568e-01    2.50865e-01
    9.92824e-01    2.00000e+00    1.01854e-01    2.47913e-01
    9.93766e-01    2.00000e+00    9.55447e-02    2.45256e-01
    9.94585e-01    2.00000e+00    8.96176e-02    2.42872e-01
    9.95296e-01    2.00000e+00    8.40527e-02    2.40742e-01
    9.95913e-01    2.00000e+00    7.88303e-02    2.38846e-01
    9.96450e-01    2.00000e+00    7.39316e-02    2.37167e-01
    9.96916e-01    2.00000e+00    6.93383e-02    2.35689e-01
    9.97321e-01    2.00000e+00    6.50331e-02    2.34394e-01
    9.97673e-01    2.00000e+00    6.09993e-02    2.33267e-01
    9.97978e-01    2.00000e+00    5.72209e-02    2.32293e-01
    9.98244e-01    2.00000e+00    5.36831e-02    2.31458e-01
    9.98475e-01    2.00000e+00    5.03711e-02    2.30747e-01
    9.98675e-01    2.00000e+00    4.72717e-02    2.30146e-01
    9.98849e-01    2.00000e+00    4.43718e-02    2.29643e-01
    9.99000e-01    2.00000e+00    4.16590e-02    2.29225e-01
